Perplexity = 128.25, Entropy = 7.00 bits,docLen = 3672
Perplexity = 141.70, Entropy = 7.15 bits,docLen = 585
Perplexity = 204.79, Entropy = 7.68 bits,docLen = 663
Perplexity = 119.18, Entropy = 6.90 bits,docLen = 3670
Perplexity = 150.13, Entropy = 7.23 bits,docLen = 622
Perplexity = 138.32, Entropy = 7.11 bits,docLen = 214
Perplexity = 237.42, Entropy = 7.89 bits,docLen = 159
Perplexity = 153.81, Entropy = 7.27 bits,docLen = 986
Perplexity = 142.71, Entropy = 7.16 bits,docLen = 697
Perplexity = 149.69, Entropy = 7.23 bits,docLen = 440
Perplexity = 130.68, Entropy = 7.03 bits,docLen = 544
Perplexity = 120.07, Entropy = 6.91 bits,docLen = 235
Perplexity = 98.93, Entropy = 6.63 bits,docLen = 438
Perplexity = 81.46, Entropy = 6.35 bits,docLen = 4568
Perplexity = 117.41, Entropy = 6.88 bits,docLen = 3867
Perplexity = 111.74, Entropy = 6.80 bits,docLen = 399
Perplexity = 214.15, Entropy = 7.74 bits,docLen = 480
Perplexity = 199.66, Entropy = 7.64 bits,docLen = 591
Perplexity = 117.47, Entropy = 6.88 bits,docLen = 854
Perplexity = 161.08, Entropy = 7.33 bits,docLen = 812
Perplexity = 137.82, Entropy = 7.11 bits,docLen = 554
Perplexity = 143.48, Entropy = 7.16 bits,docLen = 611
Perplexity = 95.21, Entropy = 6.57 bits,docLen = 821
Perplexity = 144.01, Entropy = 7.17 bits,docLen = 559
Perplexity = 241.59, Entropy = 7.92 bits,docLen = 616
Perplexity = 122.78, Entropy = 6.94 bits,docLen = 529
Perplexity = 124.83, Entropy = 6.96 bits,docLen = 357
Perplexity = 105.77, Entropy = 6.72 bits,docLen = 485
Perplexity = 110.24, Entropy = 6.78 bits,docLen = 790
Perplexity = 192.16, Entropy = 7.59 bits,docLen = 630
Perplexity = 126.34, Entropy = 6.98 bits,docLen = 772
Perplexity = 139.55, Entropy = 7.12 bits,docLen = 641
Perplexity = 100.93, Entropy = 6.66 bits,docLen = 569
Perplexity = 152.06, Entropy = 7.25 bits,docLen = 353
Perplexity = 104.40, Entropy = 6.71 bits,docLen = 972
Perplexity = 110.58, Entropy = 6.79 bits,docLen = 383
Perplexity = 127.60, Entropy = 7.00 bits,docLen = 719
Perplexity = 135.33, Entropy = 7.08 bits,docLen = 532
Perplexity = 132.81, Entropy = 7.05 bits,docLen = 1009
Perplexity = 132.47, Entropy = 7.05 bits,docLen = 291
Perplexity = 216.97, Entropy = 7.76 bits,docLen = 524
Perplexity = 114.99, Entropy = 6.85 bits,docLen = 689
Perplexity = 193.82, Entropy = 7.60 bits,docLen = 413
Perplexity = 93.07, Entropy = 6.54 bits,docLen = 10031
Perplexity = 133.04, Entropy = 7.06 bits,docLen = 11854
Perplexity = 160.37, Entropy = 7.33 bits,docLen = 651
Perplexity = 99.99, Entropy = 6.64 bits,docLen = 501
Perplexity = 131.55, Entropy = 7.04 bits,docLen = 894
