Perplexity = 122.48, Entropy = 6.94 bits
Perplexity = 129.07, Entropy = 7.01 bits
Perplexity = 99.41, Entropy = 6.64 bits
Perplexity = 65.90, Entropy = 6.04 bits
Perplexity = 112.37, Entropy = 6.81 bits
Perplexity = 114.05, Entropy = 6.83 bits
Perplexity = 188.35, Entropy = 7.56 bits
Perplexity = 164.95, Entropy = 7.37 bits
Perplexity = 91.73, Entropy = 6.52 bits
Perplexity = 114.33, Entropy = 6.84 bits
Perplexity = 121.40, Entropy = 6.92 bits
Perplexity = 124.87, Entropy = 6.96 bits
Perplexity = 101.34, Entropy = 6.66 bits
Perplexity = 85.24, Entropy = 6.41 bits
Perplexity = 169.85, Entropy = 7.41 bits
Perplexity = 110.75, Entropy = 6.79 bits
Perplexity = 115.76, Entropy = 6.85 bits
Perplexity = 99.18, Entropy = 6.63 bits
Perplexity = 81.34, Entropy = 6.35 bits
Perplexity = 168.65, Entropy = 7.40 bits
Perplexity = 109.49, Entropy = 6.77 bits
Perplexity = 143.51, Entropy = 7.17 bits
Perplexity = 92.86, Entropy = 6.54 bits
Perplexity = 177.00, Entropy = 7.47 bits
Perplexity = 106.26, Entropy = 6.73 bits
Perplexity = 82.53, Entropy = 6.37 bits
Perplexity = 109.87, Entropy = 6.78 bits
Perplexity = 128.52, Entropy = 7.01 bits
Perplexity = 119.84, Entropy = 6.90 bits
Perplexity = 147.56, Entropy = 7.21 bits
Perplexity = 173.11, Entropy = 7.44 bits
Perplexity = 97.90, Entropy = 6.61 bits
Perplexity = 169.33, Entropy = 7.40 bits
Perplexity = 75.85, Entropy = 6.25 bits
Perplexity = 126.92, Entropy = 6.99 bits
Perplexity = 104.25, Entropy = 6.70 bits
Perplexity = 93.50, Entropy = 6.55 bits
Perplexity = 121.27, Entropy = 6.92 bits
Perplexity = 113.19, Entropy = 6.82 bits
Perplexity = 77.02, Entropy = 6.27 bits
Perplexity = 99.60, Entropy = 6.64 bits
Perplexity = 107.31, Entropy = 6.75 bits
Perplexity = 99.87, Entropy = 6.64 bits
Perplexity = 111.13, Entropy = 6.80 bits
Perplexity = 123.83, Entropy = 6.95 bits
Perplexity = 130.31, Entropy = 7.03 bits
Perplexity = 91.15, Entropy = 6.51 bits
Perplexity = 156.74, Entropy = 7.29 bits
Perplexity = 131.27, Entropy = 7.04 bits
Perplexity = 114.03, Entropy = 6.83 bits
Perplexity = 113.50, Entropy = 6.83 bits
Perplexity = 147.83, Entropy = 7.21 bits
Perplexity = 117.60, Entropy = 6.88 bits
Perplexity = 147.74, Entropy = 7.21 bits
Perplexity = 161.66, Entropy = 7.34 bits
Perplexity = 155.73, Entropy = 7.28 bits
Perplexity = 71.02, Entropy = 6.15 bits
Perplexity = 106.14, Entropy = 6.73 bits
Perplexity = 100.64, Entropy = 6.65 bits
Perplexity = 132.84, Entropy = 7.05 bits
Perplexity = 135.94, Entropy = 7.09 bits
Perplexity = 215.21, Entropy = 7.75 bits
Perplexity = 122.12, Entropy = 6.93 bits
Perplexity = 176.14, Entropy = 7.46 bits
Perplexity = 95.25, Entropy = 6.57 bits
Perplexity = 102.83, Entropy = 6.68 bits
Perplexity = 127.24, Entropy = 6.99 bits
Perplexity = 146.04, Entropy = 7.19 bits
Perplexity = 113.55, Entropy = 6.83 bits
Perplexity = 147.43, Entropy = 7.20 bits
Perplexity = 113.24, Entropy = 6.82 bits
Perplexity = 107.44, Entropy = 6.75 bits
Perplexity = 139.49, Entropy = 7.12 bits
Perplexity = 106.52, Entropy = 6.73 bits
Perplexity = 76.40, Entropy = 6.26 bits
Perplexity = 134.66, Entropy = 7.07 bits
Perplexity = 242.28, Entropy = 7.92 bits
Perplexity = 150.82, Entropy = 7.24 bits
Perplexity = 119.22, Entropy = 6.90 bits
Perplexity = 107.95, Entropy = 6.75 bits
Perplexity = 84.06, Entropy = 6.39 bits
Perplexity = 119.65, Entropy = 6.90 bits
Perplexity = 122.03, Entropy = 6.93 bits
Perplexity = 137.93, Entropy = 7.11 bits
Perplexity = 207.17, Entropy = 7.69 bits
Perplexity = 160.07, Entropy = 7.32 bits
Perplexity = 119.50, Entropy = 6.90 bits
Perplexity = 198.32, Entropy = 7.63 bits
Perplexity = 124.76, Entropy = 6.96 bits
Perplexity = 134.63, Entropy = 7.07 bits
Perplexity = 111.83, Entropy = 6.81 bits
Perplexity = 103.45, Entropy = 6.69 bits
Perplexity = 137.86, Entropy = 7.11 bits
Perplexity = 143.61, Entropy = 7.17 bits
Perplexity = 116.62, Entropy = 6.87 bits
Perplexity = 120.54, Entropy = 6.91 bits
Perplexity = 149.08, Entropy = 7.22 bits
Perplexity = 166.58, Entropy = 7.38 bits
Perplexity = 79.76, Entropy = 6.32 bits
Perplexity = 68.53, Entropy = 6.10 bits
Perplexity = 121.81, Entropy = 6.93 bits
Perplexity = 89.76, Entropy = 6.49 bits
Perplexity = 151.96, Entropy = 7.25 bits
Perplexity = 117.68, Entropy = 6.88 bits
Perplexity = 171.52, Entropy = 7.42 bits
Perplexity = 84.07, Entropy = 6.39 bits
Perplexity = 172.15, Entropy = 7.43 bits
Perplexity = 97.98, Entropy = 6.61 bits
Perplexity = 135.33, Entropy = 7.08 bits
Perplexity = 118.86, Entropy = 6.89 bits
Perplexity = 99.64, Entropy = 6.64 bits
Perplexity = 105.32, Entropy = 6.72 bits
Perplexity = 162.62, Entropy = 7.35 bits
Perplexity = 103.54, Entropy = 6.69 bits
Perplexity = 119.71, Entropy = 6.90 bits
Perplexity = 138.41, Entropy = 7.11 bits
Perplexity = 121.02, Entropy = 6.92 bits
Perplexity = 111.30, Entropy = 6.80 bits
Perplexity = 122.78, Entropy = 6.94 bits
Perplexity = 126.49, Entropy = 6.98 bits
Perplexity = 152.38, Entropy = 7.25 bits
Perplexity = 109.19, Entropy = 6.77 bits
Perplexity = 138.26, Entropy = 7.11 bits
Perplexity = 124.65, Entropy = 6.96 bits
Perplexity = 82.53, Entropy = 6.37 bits
Perplexity = 87.71, Entropy = 6.45 bits
Perplexity = 202.11, Entropy = 7.66 bits
Perplexity = 97.19, Entropy = 6.60 bits
Perplexity = 103.53, Entropy = 6.69 bits
Perplexity = 127.23, Entropy = 6.99 bits
Perplexity = 139.41, Entropy = 7.12 bits
Perplexity = 88.01, Entropy = 6.46 bits
Perplexity = 150.43, Entropy = 7.23 bits
Perplexity = 84.72, Entropy = 6.40 bits
Perplexity = 179.53, Entropy = 7.49 bits
Perplexity = 154.59, Entropy = 7.27 bits
Perplexity = 102.91, Entropy = 6.69 bits
Perplexity = 137.50, Entropy = 7.10 bits
Perplexity = 176.50, Entropy = 7.46 bits
Perplexity = 117.64, Entropy = 6.88 bits
Perplexity = 166.93, Entropy = 7.38 bits
Perplexity = 113.49, Entropy = 6.83 bits
Perplexity = 85.70, Entropy = 6.42 bits
Perplexity = 132.51, Entropy = 7.05 bits
Perplexity = 84.31, Entropy = 6.40 bits
Perplexity = 95.20, Entropy = 6.57 bits
Perplexity = 125.33, Entropy = 6.97 bits
Perplexity = 199.23, Entropy = 7.64 bits
Perplexity = 83.15, Entropy = 6.38 bits
Perplexity = 103.03, Entropy = 6.69 bits
Perplexity = 207.90, Entropy = 7.70 bits
Perplexity = 74.75, Entropy = 6.22 bits
