Perplexity = 610.82, Entropy = 9.25 bits
Perplexity = 646.81, Entropy = 9.34 bits
Perplexity = 64.00, Entropy = 6.00 bits
Perplexity = 381.40, Entropy = 8.58 bits
Perplexity = 58.03, Entropy = 5.86 bits
Perplexity = 97.94, Entropy = 6.61 bits
Perplexity = 196.43, Entropy = 7.62 bits
Perplexity = 141.57, Entropy = 7.15 bits
Perplexity = 168.46, Entropy = 7.40 bits
Perplexity = 453.09, Entropy = 8.82 bits
Perplexity = 220.45, Entropy = 7.78 bits
Perplexity = 381.87, Entropy = 8.58 bits
Perplexity = 139.50, Entropy = 7.12 bits
Perplexity = 401.07, Entropy = 8.65 bits
Perplexity = 125.08, Entropy = 6.97 bits
Perplexity = 328.93, Entropy = 8.36 bits
Perplexity = 348.28, Entropy = 8.44 bits
Perplexity = 296.08, Entropy = 8.21 bits
Perplexity = 162.63, Entropy = 7.35 bits
Perplexity = 110.82, Entropy = 6.79 bits
Perplexity = 1211.20, Entropy = 10.24 bits
Perplexity = 46.74, Entropy = 5.55 bits
Perplexity = 250.43, Entropy = 7.97 bits
Perplexity = 249.84, Entropy = 7.96 bits
Perplexity = 293.32, Entropy = 8.20 bits
Perplexity = 220.71, Entropy = 7.79 bits
Perplexity = 199.68, Entropy = 7.64 bits
Perplexity = 139.58, Entropy = 7.12 bits
Perplexity = 141.31, Entropy = 7.14 bits
Perplexity = 343.05, Entropy = 8.42 bits
Perplexity = 19.76, Entropy = 4.30 bits
Perplexity = 230.99, Entropy = 7.85 bits
Perplexity = 152.01, Entropy = 7.25 bits
Perplexity = 187.02, Entropy = 7.55 bits
Perplexity = 237.93, Entropy = 7.89 bits
Perplexity = 491.92, Entropy = 8.94 bits
Perplexity = 236.39, Entropy = 7.89 bits
Perplexity = 259.67, Entropy = 8.02 bits
Perplexity = 231.80, Entropy = 7.86 bits
Perplexity = 1048.79, Entropy = 10.03 bits
Perplexity = 245.41, Entropy = 7.94 bits
Perplexity = 93.29, Entropy = 6.54 bits
Perplexity = 341.65, Entropy = 8.42 bits
Perplexity = 437.98, Entropy = 8.77 bits
