Perplexity = 112.08, Entropy = 6.81 bits
Perplexity = 346.84, Entropy = 8.44 bits
Perplexity = 169.81, Entropy = 7.41 bits
Perplexity = 132.70, Entropy = 7.05 bits
Perplexity = 120.97, Entropy = 6.92 bits
Perplexity = 292.02, Entropy = 8.19 bits
Perplexity = 132.73, Entropy = 7.05 bits
Perplexity = 233.81, Entropy = 7.87 bits
Perplexity = 124.20, Entropy = 6.96 bits
Perplexity = 119.22, Entropy = 6.90 bits
Perplexity = 85.63, Entropy = 6.42 bits
Perplexity = 92.56, Entropy = 6.53 bits
Perplexity = 103.35, Entropy = 6.69 bits
Perplexity = 106.36, Entropy = 6.73 bits
Perplexity = 93.77, Entropy = 6.55 bits
Perplexity = 136.09, Entropy = 7.09 bits
Perplexity = 127.64, Entropy = 7.00 bits
Perplexity = 95.00, Entropy = 6.57 bits
Perplexity = 105.40, Entropy = 6.72 bits
Perplexity = 102.01, Entropy = 6.67 bits
Perplexity = 206.16, Entropy = 7.69 bits
Perplexity = 128.44, Entropy = 7.00 bits
Perplexity = 115.94, Entropy = 6.86 bits
Perplexity = 96.24, Entropy = 6.59 bits
Perplexity = 88.06, Entropy = 6.46 bits
Perplexity = 96.91, Entropy = 6.60 bits
Perplexity = 96.41, Entropy = 6.59 bits
Perplexity = 113.76, Entropy = 6.83 bits
Perplexity = 100.92, Entropy = 6.66 bits
Perplexity = 118.19, Entropy = 6.88 bits
Perplexity = 113.89, Entropy = 6.83 bits
Perplexity = 105.70, Entropy = 6.72 bits
Perplexity = 164.14, Entropy = 7.36 bits
Perplexity = 98.26, Entropy = 6.62 bits
Perplexity = 190.13, Entropy = 7.57 bits
Perplexity = 116.36, Entropy = 6.86 bits
Perplexity = 135.90, Entropy = 7.09 bits
Perplexity = 186.73, Entropy = 7.54 bits
Perplexity = 186.02, Entropy = 7.54 bits
Perplexity = 82.03, Entropy = 6.36 bits
Perplexity = 239.20, Entropy = 7.90 bits
Perplexity = 114.83, Entropy = 6.84 bits
Perplexity = 102.67, Entropy = 6.68 bits
Perplexity = 122.85, Entropy = 6.94 bits
Perplexity = 92.27, Entropy = 6.53 bits
Perplexity = 116.54, Entropy = 6.86 bits
Perplexity = 114.46, Entropy = 6.84 bits
Perplexity = 92.19, Entropy = 6.53 bits
Perplexity = 269.22, Entropy = 8.07 bits
Perplexity = 80.75, Entropy = 6.34 bits
Perplexity = 220.48, Entropy = 7.78 bits
Perplexity = 94.89, Entropy = 6.57 bits
Perplexity = 106.87, Entropy = 6.74 bits
Perplexity = 127.89, Entropy = 7.00 bits
Perplexity = 132.57, Entropy = 7.05 bits
Perplexity = 93.44, Entropy = 6.55 bits
Perplexity = 104.81, Entropy = 6.71 bits
Perplexity = 73.64, Entropy = 6.20 bits
Perplexity = 122.42, Entropy = 6.94 bits
Perplexity = 129.97, Entropy = 7.02 bits
Perplexity = 245.66, Entropy = 7.94 bits
Perplexity = 98.86, Entropy = 6.63 bits
Perplexity = 160.34, Entropy = 7.33 bits
Perplexity = 109.10, Entropy = 6.77 bits
Perplexity = 94.88, Entropy = 6.57 bits
Perplexity = 118.74, Entropy = 6.89 bits
Perplexity = 128.54, Entropy = 7.01 bits
Perplexity = 96.30, Entropy = 6.59 bits
Perplexity = 126.58, Entropy = 6.98 bits
Perplexity = 134.44, Entropy = 7.07 bits
Perplexity = 106.13, Entropy = 6.73 bits
Perplexity = 151.35, Entropy = 7.24 bits
Perplexity = 134.43, Entropy = 7.07 bits
Perplexity = 114.64, Entropy = 6.84 bits
Perplexity = 92.13, Entropy = 6.53 bits
Perplexity = 193.88, Entropy = 7.60 bits
Perplexity = 183.79, Entropy = 7.52 bits
Perplexity = 85.84, Entropy = 6.42 bits
Perplexity = 68.07, Entropy = 6.09 bits
Perplexity = 122.39, Entropy = 6.94 bits
Perplexity = 122.11, Entropy = 6.93 bits
Perplexity = 115.36, Entropy = 6.85 bits
Perplexity = 123.91, Entropy = 6.95 bits
Perplexity = 196.32, Entropy = 7.62 bits
Perplexity = 109.42, Entropy = 6.77 bits
Perplexity = 133.47, Entropy = 7.06 bits
Perplexity = 144.90, Entropy = 7.18 bits
Perplexity = 200.60, Entropy = 7.65 bits
Perplexity = 149.86, Entropy = 7.23 bits
Perplexity = 117.50, Entropy = 6.88 bits
Perplexity = 123.37, Entropy = 6.95 bits
Perplexity = 113.36, Entropy = 6.82 bits
Perplexity = 84.13, Entropy = 6.39 bits
Perplexity = 101.90, Entropy = 6.67 bits
Perplexity = 72.44, Entropy = 6.18 bits
Perplexity = 105.34, Entropy = 6.72 bits
Perplexity = 98.01, Entropy = 6.61 bits
Perplexity = 213.21, Entropy = 7.74 bits
Perplexity = 185.19, Entropy = 7.53 bits
Perplexity = 104.18, Entropy = 6.70 bits
Perplexity = 149.37, Entropy = 7.22 bits
Perplexity = 133.52, Entropy = 7.06 bits
Perplexity = 121.02, Entropy = 6.92 bits
Perplexity = 87.04, Entropy = 6.44 bits
Perplexity = 129.48, Entropy = 7.02 bits
Perplexity = 230.41, Entropy = 7.85 bits
Perplexity = 100.35, Entropy = 6.65 bits
Perplexity = 110.92, Entropy = 6.79 bits
Perplexity = 89.31, Entropy = 6.48 bits
Perplexity = 99.95, Entropy = 6.64 bits
Perplexity = 169.53, Entropy = 7.41 bits
Perplexity = 114.30, Entropy = 6.84 bits
Perplexity = 120.26, Entropy = 6.91 bits
Perplexity = 89.56, Entropy = 6.48 bits
Perplexity = 118.02, Entropy = 6.88 bits
Perplexity = 92.62, Entropy = 6.53 bits
Perplexity = 101.87, Entropy = 6.67 bits
Perplexity = 104.67, Entropy = 6.71 bits
Perplexity = 115.92, Entropy = 6.86 bits
Perplexity = 122.04, Entropy = 6.93 bits
Perplexity = 117.61, Entropy = 6.88 bits
Perplexity = 209.51, Entropy = 7.71 bits
Perplexity = 96.56, Entropy = 6.59 bits
Perplexity = 178.58, Entropy = 7.48 bits
Perplexity = 78.14, Entropy = 6.29 bits
Perplexity = 118.81, Entropy = 6.89 bits
Perplexity = 139.46, Entropy = 7.12 bits
Perplexity = 81.17, Entropy = 6.34 bits
Perplexity = 115.55, Entropy = 6.85 bits
Perplexity = 140.81, Entropy = 7.14 bits
Perplexity = 83.98, Entropy = 6.39 bits
Perplexity = 98.98, Entropy = 6.63 bits
Perplexity = 110.21, Entropy = 6.78 bits
Perplexity = 113.06, Entropy = 6.82 bits
Perplexity = 106.84, Entropy = 6.74 bits
Perplexity = 145.95, Entropy = 7.19 bits
Perplexity = 109.13, Entropy = 6.77 bits
Perplexity = 90.82, Entropy = 6.50 bits
Perplexity = 119.61, Entropy = 6.90 bits
Perplexity = 122.57, Entropy = 6.94 bits
Perplexity = 105.11, Entropy = 6.72 bits
Perplexity = 109.40, Entropy = 6.77 bits
Perplexity = 144.64, Entropy = 7.18 bits
Perplexity = 150.15, Entropy = 7.23 bits
Perplexity = 138.38, Entropy = 7.11 bits
Perplexity = 149.74, Entropy = 7.23 bits
Perplexity = 179.18, Entropy = 7.49 bits
Perplexity = 75.12, Entropy = 6.23 bits
Perplexity = 101.47, Entropy = 6.66 bits
Perplexity = 94.41, Entropy = 6.56 bits
Perplexity = 120.86, Entropy = 6.92 bits
Perplexity = 117.67, Entropy = 6.88 bits
Perplexity = 266.75, Entropy = 8.06 bits
